Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	8	0.026178010471204192	3.256293449995102E-4	CXCL1, ICAM1, CCL2, CCL20, CXCL3, MMP9, IL1B, MMP14	87	106	6910	5.994361309911082	0.04829838297054967	0.04829838297054967	0.3890510310892381
KEGG_PATHWAY	hsa05144:Malaria	5	0.016361256544502618	0.0030939035990665653	ICAM1, SDC1, CCL2, MET, IL1B	87	49	6910	8.104621158808351	0.375623883424715	0.20982526199878737	3.640904014285029
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	8	0.026178010471204192	0.008197686842434737	CXCL1, CCL2, CXCL5, CCL20, FGR, CXCL3, CCL7, SRC	87	186	6910	3.4161413916697563	0.71383417898717	0.34101946415351314	9.382482361812738
KEGG_PATHWAY	hsa00380:Tryptophan metabolism	4	0.013089005235602096	0.013199812691714056	KYNU, MAOA, IL4I1, KMO	87	40	6910	7.942528735632185	0.8673088572105757	0.39645385043377357	14.703841521373262
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	5	0.016361256544502618	0.022780949985677	ICAM1, RELB, BCL2A1, IL1B, TNFSF14	87	87	6910	4.5646716871449335	0.9698857165206427	0.5036883073957139	24.10499918710083
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	5	0.016361256544502618	0.02364515064188249	ICAM1, CCL2, CXCL5, CCL20, IL1B	87	88	6910	4.512800417972832	0.9736749912779395	0.4545837321312183	24.904444947281235
KEGG_PATHWAY	hsa05134:Legionellosis	4	0.013089005235602096	0.0292784069791534	CXCL1, C3, CXCL3, IL1B	87	54	6910	5.883354618986803	0.9890757173900306	0.4754698963673233	29.929353840292272
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	4	0.013089005235602096	0.054221298435593486	C3, F3, SERPINE1, TFPI	87	69	6910	4.604364484424455	0.999791066290216	0.6532622997013291	48.68734843602183
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	7	0.022905759162303665	0.06616730657082218	TNFRSF9, CCL2, CCL20, MET, IL1B, TNFSF14, CCL7	87	230	6910	2.4172913543228387	0.999969737881896	0.6853137968805405	55.92929154121698
KEGG_PATHWAY	hsa05152:Tuberculosis	6	0.01963350785340314	0.06905716361104686	IRAK2, C3, SPHK1, NFYC, IL1B, SRC	87	177	6910	2.6923826222481977	0.9999811071191254	0.6630000638230866	57.534228835972634
KEGG_PATHWAY	hsa04360:Axon guidance	5	0.016361256544502618	0.07316328742761272	SEMA6B, NRP1, PLXNA1, MET, SEMA3C	87	127	6910	3.126979817178025	0.99999035081405	0.6500188878509323	59.72263414753197
